installation_id,latitude,longitude
BG_151,42.4766965,27.4429347
BG_131,42.2646584,24.9422736
BG_132,42.733883,25.48583
BG_149,42.6194408,25.3929576
BG_150,43.080557,25.630629
BG_147,41.7204847,23.1664374
BG_148,43.3488529,26.2120729
BG_203535,42.8550917,23.1020783
BG_202758,43.90462,26.0742806
BG_202843,43.7979981,25.9053209
BG_202192,42.2051091,24.1975884
BG_202072,42.5187534,27.4772798
BG_202233,42.1245317,26.0029063
BG_202492,43.165601,27.9364091
BG_206950,41.9304124,25.9025865
BG_206272,42.733883,25.48583
BG_205828,43.29999590000001,27.1499945
BG_203779,42.1658251,24.2200716
BG_203776,43.2224719,27.9224518
BG_205061,43.2217497,27.6540855
BG_203780,42.1764157,24.2936792
BG_210496,43.199618,27.7689133
BG_210588,43.2567931,26.5310588
HR_203977,45.1356611,14.1698663
HR_203945,43.8579903,16.1512783
HR_203888,46.1929582,16.844947
HR_203883,46.3203242,16.3228807
HR_203889,45.0883095,18.6953214
HR_203974,45.1356611,14.1698663
HR_203950,45.2920375,14.5124375
HR_203879,45.8083481,15.9470429
HR_203878,45.7836984,16.0143936
HR_205185,45.5207733,18.8391154
HR_205184,45.4596987,18.5736075
HR_205183,45.2014933,19.3944953
HR_204942,46.0392555,16.1843519
HR_205104,45.4946861,18.0951118
HR_204425,45.5498984,18.7197042
HR_205176,45.5505369,18.7390848
HR_206102,45.4983263,15.5297004
HR_206173,45.0609897,14.0451068
HR_206092,43.5475886,16.4230281
HR_205956,45.3070177,18.8136851
HR_205953,45.2850652,18.7772824
HR_206077,45.4419716,16.2913984
HR_205084,45.77868489999999,16.0554166
HR_205122,45.4604303,18.041881
HR_214880,45.5196723,18.8363592
HR_211261,46.1727435,16.8299476
HR_211262,45.893128,16.8530033
HR_211258,43.7053538,15.9181186
HR_206341,46.1900347,16.3452105
HR_206369,45.5730927,16.9198881
HR_206319,44.0407757,16.1964988
HR_206263,45.49049489999999,15.5464196
HR_205907,45.165239,18.0135447
CY_210000000000006,35.022874,33.3947933
CY_210000000000005,34.7417862,33.1832043
CY_210000000000004,34.7414054,33.2989795
CY_210000000000003,34.9182222,33.6200625
CY_210000000000002,34.7417862,33.1832043
CY_212200,34.7724293,33.2959772
CY_210000000000001,34.7022123,33.0564103
CZ_419,49.0791388,16.1893514
CZ_163,49.1436596,15.0264982
CZ_418,49.4755134,17.1331635
